DATE,TOTAL
11-7-2016,192682485
11-7-2017,130000000
11-7-2018,4000000000
11-8-2016,167502348
11-8-2017,386000000
11-8-2018,255418494
11-9-2015,500000000
11-9-2016,575059980
11-9-2017,643000000
11-9-2018,900310334
12-1-2014,70000000
12-1-2015,914000000
12-1-2016,133434778
12-1-2017,831000000
12-10-2014,115000373
12-10-2015,66491518
12-10-2018,118172545
12-11-2014,300000000
12-11-2015,92172748
12-11-2017,77706749
12-11-2018,51004943
12-12-2014,235329189
12-12-2016,73756672
12-12-2017,302439830
12-12-2018,298211055
12-13-2016,219000000
12-13-2017,444600000
12-13-2018,92361661
12-14-2015,1094983588
12-14-2016,163000000
12-14-2017,6700000000
12-14-2018,450000000
12-15-2014,200000000
12-15-2015,72479741
12-15-2016,246202708
12-15-2017,571348690
12-16-2014,657400000
12-16-2015,34846586
12-16-2016,570947933
12-17-2014,150002546
12-17-2015,1058000000
12-17-2018,3600000000
12-18-2014,129537132
12-18-2015,2351177872
12-18-2017,961160000
12-18-2018,585206351
12-19-2014,2397211870
12-19-2016,1463276000
12-19-2017,180000000
12-19-2018,114065820
12-2-2014,97832182
12-2-2015,200000000
12-2-2016,269235964
12-20-2016,927000000
12-20-2017,2200000000
12-20-2018,1104807664
12-21-2015,4300000000
12-21-2016,207534768
12-21-2017,7000000000
12-21-2018,3378834083
12-22-2014,36703480
12-22-2015,23374245
12-22-2016,6014804859
12-22-2017,6173500000
12-23-2014,382654403
12-23-2015,57401850
12-23-2016,313879396
12-24-2014,19558660
12-24-2015,12690000
12-26-2017,102506796
12-26-2018,827674072
12-27-2016,303080064
12-27-2017,191000000
12-27-2018,712482210
12-28-2015,528470864
12-28-2016,303749820
12-28-2017,634204347
12-28-2018,434389104
12-29-2014,270512968
12-29-2015,43714642
12-29-2016,450042458
12-29-2017,333355700
12-3-2014,49960000
12-3-2015,302222015
12-3-2018,5000000000
12-30-2014,459572000
12-30-2015,1060940036
12-30-2016,163272761
12-31-2014,662032335
12-31-2015,317757559
12-31-2018,92551470
12-4-2014,44547142
12-4-2015,200000000
12-4-2017,58200000
12-4-2018,200000000
